Game,ReleaseDate,Genre,TotalEarnings,OnlineEarnings,TotalPlayers,TotalTournaments
Dota 2,2013,Multiplayer Online Battle Arena,229445489.5,213610391.3,3934,1476
Counter-Strike: Global Offensive,2012,First-Person Shooter,109261205.7,75375246.99,13394,5459
Fortnite,2017,Battle Royale,99362917.41,42124622.54,4459,673
League of Legends,2009,Multiplayer Online Battle Arena,82031341.76,74127639.23,7202,2491
StarCraft II,2010,Strategy,34445574.78,29048884.73,2087,6062
Overwatch,2016,First-Person Shooter,26750317.28,18227464.45,3532,747
PLAYERUNKNOWN’S BATTLEGROUNDS,2017,Battle Royale,25605074.23,19896999.36,2942,322
Hearthstone,2014,Collectible Card Game,24151978.24,18482179.57,2431,902
Arena of Valor,2015,Multiplayer Online Battle Arena,23760471.67,22409531.67,664,61
500 Other games,2015,Multiplayer Online Battle Arena,18188482.65,187237420,1253,374474840.3
,2000,First-Person Shooter,13529661.03,187237420.2,4141,997
,2015,First-Person Shooter,13198525.74,9987213.13,1601,242
,2015,Sports,11713003.66,4105025.18,1379,1363
,2017,Battle Royale,11193572.02,9207728.67,1266,49
,2014,Multiplayer Online Battle Arena,9240112.75,7872832.57,525,96
,1998,Strategy,8430170.61,8002899.32,682,681
,2015,First-Person Shooter,7071480.97,6782680.97,233,75
,2018,First-Person Shooter,6731938.95,6636161.95,380,68
,2019,First-Person Shooter,6617284.5,643562.5,257,45
,2007,First-Person Shooter,6609445.02,5876309.23,643,310
,2018,Collectible Card Game,6012000,5354000,241,38
,2002,Strategy,5811479.73,5038870.86,558,1335
,2019,Battle Royale,5194601.69,2014420.75,1227,289
,2004,Role-Playing Game,4957837.61,4615888.91,413,118
,2017,First-Person Shooter,4559271,4498605,266,64
,2016,First-Person Shooter,4156205.06,4049855.06,341,80
,2015,First-Person Shooter,3939783.29,3783077.02,419,78
,2010,Strategy,3656496.59,3598031.72,403,50
,2016,Strategy,3363348.27,3149638.98,290,51
,2018,Sports,3242642.34,3233027.83,300,48
,2020,First-Person Shooter,3241802.12,0,734,123
,2001,Fighting Game,3238403.57,3178984.8,1881,2613
,2016,Collectible Card Game,3211177.09,3080377.09,239,42
,2004,First-Person Shooter,3117222.29,2876766.03,1502,333
,2016,Third-Person Shooter,3087285,3055000,135,41
,2010,Multiplayer Online Battle Arena,2915206.56,1552890.01,813,371
,2012,Strategy,2631062.87,1127101.87,191,35
,2014,First-Person Shooter,2608808.93,2264636.14,783,404
,2017,First-Person Shooter,2409188.25,2120487.12,250,240
,2015,First-Person Shooter,2354557.6,1659000,589,76
,2020,First-Person Shooter,2276376.65,210228,2165,296
,2017,Sports,2233697.69,2221267.08,235,48
,2016,Fighting Game,2202726.43,2202726.43,233,120
,2007,First-Person Shooter,2158079.4,2151479.4,210,41
,2019,Sports,2118402.84,1066026.82,297,61
,2016,Battle Royale,2067122,2067122,119,13
,2018,Fighting Game,2017135.95,2016285.95,229,100
,2019,Third-Person Shooter,1783000,680000,160,22
,2015,Fighting Game,1732656.45,1714113.85,425,238
,1999,Strategy,1689260.72,618974.87,1105,729
,2013,First-Person Shooter,1594185.25,1504472.89,199,76
,2008,Racing,1545879.43,128994.1,883,112
,2014,Fighting Game,1511976.47,1510076.47,1264,1022
,2004,First-Person Shooter,1489362.47,1489362.47,119,71
,2014,Strategy,1484696.09,0,63,12
,2016,Sports,1482612.63,1482612.63,156,48
,2012,First-Person Shooter,1467139.25,1430071.63,184,53
,2012,Sports,1434341.9,1434341.9,88,9
,2018,Fighting Game,1432755.84,1214511.95,1939,1303
,2017,Battle Royale,1306392.23,926242.23,321,15
,2013,Racing,1271690.6,1064611.94,229,49
,2002,Collectible Card Game,1218000,1218000,130,10
,2010,Strategy,1173811.93,0,311,103
,2015,Fighting Game,1164994.09,692000.3,498,388
,2011,First-Person Shooter,1160815.66,1144955.66,209,45
,1999,First-Person Shooter,1137832.19,1131262.61,243,100
,2007,Strategy,1094988.94,0,636,190
,2019,Strategy,1076322.28,1035522.28,72,6
,2018,Sports,1069240,679240,114,7
,2004,First-Person Shooter,1015000,1015000,48,13
,2016,Sports,1004000,1004000,42,5
,2013,Racing,1.00E+06,5.00E+05,16,9
,2017,Sports,1.00E+06,1.00E+06,91,4
,2016,Collectible Card Game,956277.17,755391.17,324,112
,2003,Multiplayer Online Battle Arena,857420.65,829658.68,468,94
,2017,Fighting Game,835742.83,834310.24,81,37
,2010,First-Person Shooter,822089.97,762089.97,101,29
,2017,Racing,820200,616200,124,12
,2019,Strategy,819313.65,235250,159,15
,2014,Fighting Game,816713.46,816673.46,231,229
,2014,Multiplayer Online Battle Arena,797421.19,696825.87,247,35
,2020,Racing,751947,0,39,2
,2007,First-Person Shooter,718078.81,393807.2,1364,197
,2008,First-Person Shooter,699167.75,589898.15,297,32
,2010,First-Person Shooter,682294.04,599972.93,213,410
,2018,First-Person Shooter,611608.35,321008.35,175,18
,2020,Strategy,571463.84,295883.84,91,116
,2004,Racing,567366.35,567366.35,76,20
,2005,First-Person Shooter,556678.51,554788.51,100,52
,2019,Racing,538047.38,538047.38,25,2
,2015,Fighting Game,523532.42,523532.42,100,62
,2016,Sports,514697.71,514697.71,39,16
,2005,Fighting Game,497745.31,497745.31,45,13
,2012,Role-Playing Game,476005.5,350000,152,57
,2014,First-Person Shooter,468705.05,468705.05,97,20
,2012,Sports,458427.82,448195.59,53,62
,2019,Strategy,456721.47,456721.47,12,1
,2012,First-Person Shooter,430748.76,428498.76,66,19
,2011,Multiplayer Online Battle Arena,429539.15,10000,84,20
,2013,Role-Playing Game,422504.2,28500,66,22
,2007,First-Person Shooter,420331.47,387929.31,422,86
,2012,Role-Playing Game,409355.52,409355.52,51,5
,2016,First-Person Shooter,406989.6,406989.6,70,12
,2012,Sports,4.00E+05,4.00E+05,8,1
,2019,Fighting Game,392602.33,354602.33,158,37
,2010,First-Person Shooter,375793.48,346969.18,118,23
,2014,Racing,361419.61,228047,170,55
,2010,Fighting Game,343878.08,343878.08,153,202
,2018,Fighting Game,337985.4,337135.4,159,73
,2018,Strategy,331828.88,119445.81,97,16
,2001,First-Person Shooter,299281,299281,114,39
,2020,Multiplayer Online Battle Arena,299000,0,260,4
,2005,Racing,297286.85,297286.85,33,10
,2016,Multiplayer Online Battle Arena,297000,297000,10,1
,2007,Strategy,293338.23,293338.23,38,11
,2020,Battle Royale,284273.83,0,240,5
,2017,Sports,279676.62,20676.62,40,3
,2018,First-Person Shooter,263000,0,47,9
,2013,First-Person Shooter,262090.69,258286.5,108,43
,2004,First-Person Shooter,257748.16,257748.16,14,4
,2006,Third-Person Shooter,252195.57,252195.57,33,18
,2017,Sports,250000,250000,20,3
,2020,First-Person Shooter,248000,0,83,10
,2008,Fighting Game,246715.83,246715.83,499,344
,2013,First-Person Shooter,245766.46,212540.31,204,145
,2006,Sports,237812.23,237812.23,42,13
,2013,Fighting Game,224466.96,224416.96,128,53
,2007,Racing,222000,222000,17,2
,2019,Sports,216000,216000,25,2
,2017,Strategy,211500,211500,170,24
,2007,Sports,207129.94,207129.94,68,17
,2010,Fighting Game,205292.09,205292.09,560,335
,2019,Racing,200500,0,34,5
,2018,Racing,2.00E+05,2.00E+05,21,1
,2017,First-Person Shooter,198750,190000,8,21
,2013,Racing,198680.08,107640.31,347,283
,1997,Strategy,190075.61,156839.89,246,95
,2018,First-Person Shooter,185654.67,129863.88,114,21
,2005,First-Person Shooter,178000,178000,20,5
,2006,First-Person Shooter,176400.77,176400.77,137,7
,2015,Racing,172600,170200,43,9
,2015,Third-Person Shooter,170000,170000,39,3
,2008,Racing,167386.65,146554.75,109,73
,2004,First-Person Shooter,162150.6,162150.6,111,3
,2020,First-Person Shooter,158210.64,15642.09,256,96
,2013,Racing,156963.7,74108.7,145,21
,2000,Strategy,148384.33,148384.33,19,3
,2002,First-Person Shooter,147473.91,147473.91,33,14
,2014,Sports,144373.99,116439.15,168,352
,2013,First-Person Shooter,143490,143490,0,1
,2003,First-Person Shooter,140963.24,138376.87,152,18
,1997,First-Person Shooter,140179.5,139800,32,10
,2011,Fighting Game,136891.67,136891.67,67,26
,2008,Third-Person Shooter,135000,135000,0,5
,2004,First-Person Shooter,133969.33,133969.33,41,12
,2013,First-Person Shooter,132532.93,116555.81,82,21
,2015,First-Person Shooter,131509.05,126054.1,110,33
,2004,First-Person Shooter,130250,130250,0,3
,2016,Fighting Game,129203.79,129203.79,50,17
,2011,Fighting Game,125965.7,125965.7,142,138
,2018,Sports,125000,125000,5,3
,2008,Sports,121618.34,115321.42,52,19
,2018,Battle Royale,120000,0,12,2
